Kepler_OI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
K03083.02,3,0.61,1021.0,6.2321233,1.084,5843.0,1.131,4.421,0.005154,2
K03083.03,3,0.65,928.0,8.2942929,1.084,5843.0,1.131,4.421,0.005482,2
K00521.01,2,4.62,904.0,10.16102353,1.06,6032.0,0.999,4.387,0.039948,2
K00522.01,1,3.31,734.0,12.82993461,0.844,5862.0,0.935,4.555,0.035889,2
K00422.01,1,14.38,216.0,809.0141881,1.047,6230.0,0.993,4.397,0.125784,2
K02298.03,3,0.36,887.0,2.47240869,0.525,4729.0,0.534,4.726,0.006282,2
K00525.01,1,3.98,873.0,11.53029332,1.152,5770.0,0.942,4.289,0.031664,2
K03091.02,2,1.13,994.0,7.9069765,0.996,6347.0,1.053,4.464,0.010353,2
K04288.04,4,0.75,849.0,13.9509565,1.227,5888.0,1.036,4.275,0.00557,2
K00426.01,1,3.84,805.0,16.30141333,1.138,6072.0,1.004,4.328,0.030924,2
K00427.01,3,4.2,586.0,24.61480613,0.986,5312.0,0.859,4.384,0.038975,2
K00531.01,1,5.78,690.0,3.687469832,0.606,4004.0,0.611,4.659,0.087283,2
K04260.04,4,1.16,491.0,84.799829,1.406,5619.0,0.848,4.07,0.007581,2
K00430.02,2,0.84,530.0,9.340538,0.607,4200.0,0.622,4.664,0.012708,2
K01353.03,3,2.94,286.0,330.071558,1.115,5933.0,0.998,4.342,0.024125,2
K00317.02,2,0.99,1000.0,11.505879,1.403,6336.0,1.324,4.266,0.006463,2
K00435.02,6,7.89,177.0,934.0941846,0.832,5937.0,0.916,4.559,0.086844,2
K00436.01,1,21.48,276.0,199.8392053,0.869,5457.0,0.974,4.548,0.226393,2
K00437.01,1,16.84,575.0,15.84132627,0.702,5119.0,0.675,4.575,0.219737,2
K01613.03,3,0.85,806.0,20.605501,1.308,6099.0,0.974,4.193,0.005962,2
K02593.02,2,0.68,1012.0,9.5539134,1.307,6175.0,1.244,4.299,0.004735,2
K03209.02,2,1.9,1499.0,6.77067637,2.335,6337.0,1.556,3.893,0.00746,2
K00787.03,3,0.93,2162.0,0.589376952,1.015,5714.0,1.007,4.428,0.008399,2
K01815.02,2,1.24,1689.0,1.74610057,1.749,4854.0,0.97,3.939,0.006491,2
K00501.01,1,2.7,664.0,24.7962801,1.141,5770.0,1.02,4.333,0.021704,2
K03226.02,2,1.51,1305.0,6.93650854,1.574,6615.0,1.343,4.173,0.008773,2
K00601.02,3,4.17,830.0,11.67894236,0.964,6122.0,1.041,4.487,0.039589,2
K01910.02,2,1.15,587.0,18.3848331,0.872,5083.0,0.815,4.468,0.012082,2
K02678.02,2,0.48,1215.0,2.2165905,0.831,5397.0,0.878,4.543,0.005287,2
K00554.01,1,14.61,1583.0,3.65849707,1.822,5857.0,1.135,3.972,0.073444,2
K01942.02,2,1.66,1112.0,2.433703498,0.778,5251.0,0.869,4.592,0.019596,2
K02871.04,4,0.99,927.0,7.9788198,1.098,5553.0,0.941,4.33,0.008249,2
K00331.02,2,23.26,1008.0,10.52286678,1.614,5548.0,1.038,4.038,0.13197,2
K00458.01,1,155.12,1550.0,53.71798494,21.449,4959.0,3.601,2.332,0.066227,2
K00075.01,1,10.16,595.0,105.8817667,2.499,5903.0,1.301,3.757,0.037215,2
K01083.02,2,0.96,1024.0,4.57797412,0.848,5795.0,0.938,4.554,0.010324,2
K02174.04,4,0.96,795.0,3.01609637,0.637,4245.0,0.649,4.641,0.013746,2
K02906.03,3,1.23,797.0,21.9424316,1.424,6052.0,1.128,4.183,0.007921,2
K07624.01,1,5.92,478.0,330.025002,3.466,6126.0,1.658,3.578,0.015636,2
K00466.01,1,11.73,1068.0,9.391039263,1.498,5944.0,1.11,4.132,0.071734,2
K00076.01,1,10.33,778.0,77.4794704,2.909,6711.0,1.657,3.73,0.032509,2
K04773.02,2,0.75,906.0,11.1438086,1.11,6095.0,1.004,4.349,0.006202,2
K04846.02,2,1.26,525.0,32.526674,0.868,5668.0,0.963,4.545,0.013319,2
