Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
1,0.010492,4.267961416,1.42,1371.0,6395.0,1.237,1.048,4.275,2
1,0.019889,18.1209388,1.68,543.0,4905.0,0.774,0.75,4.536,2
1,0.008903,3.98864999,1.15,1233.0,5692.0,1.188,0.997,4.288,2
2,0.018288,25.1123362,2.22,691.0,6133.0,1.112,1.049,4.367,2
2,0.047334,2.121023807,5.75,1573.0,6133.0,1.112,1.049,4.367,2
1,0.007131,3.55557922,0.84,1270.0,5839.0,1.082,0.926,4.337,2
1,0.010655,8.28157072,1.37,956.0,5640.0,1.175,0.976,4.288,2
1,0.010598,0.82628442,0.96,1629.0,5218.0,0.829,0.886,4.548,2
1,0.02038,6.37705295,2.15,935.0,5672.0,0.965,1.08,4.503,2
2,0.009599,2.27050106,0.55,903.0,4671.0,0.528,0.534,4.721,2
1,0.021575,18.55581565,20.83,1793.0,5988.0,8.841,2.734,2.982,2
1,0.228694,13.33094869,25.95,815.0,5991.0,1.039,0.976,4.394,2
2,0.544874,21.47642727,59.5,655.0,5780.0,1.0,1.0,4.438,2
1,0.017508,7.10397925,1.51,818.0,5488.0,0.789,0.877,4.584,2
2,0.005931,3.03267135,0.6,1187.0,5640.0,0.921,0.962,4.492,2
1,0.011355,6.77367892,1.33,1083.0,6392.0,1.072,1.116,4.425,2
1,0.006272,5.22402436,0.58,941.0,5487.0,0.84,0.837,4.512,2
1,0.035087,15.92108138,3.14,645.0,5595.0,0.82,0.917,4.57,2
1,0.251685,19.0054098,28.47,758.0,6347.0,1.036,1.032,4.423,2
1,0.00628,2.81043228,1.43,1701.0,5415.0,2.079,1.164,3.868,2
1,0.026036,175.603366,2.87,348.0,6225.0,1.009,1.07,4.461,2
1,0.040604,64.034363,3.47,411.0,5691.0,0.783,0.814,4.561,2
1,0.030503,4.790912471,2.25,717.0,4359.0,0.676,0.665,4.601,2
1,0.121506,47.3659328,11.97,481.0,5708.0,0.902,0.902,4.482,2
1,0.012233,29.2254372,1.35,614.0,6049.0,1.008,1.069,4.461,2
1,0.017373,13.9034057,1.55,646.0,5261.0,0.819,0.817,4.523,2
2,0.030108,53.3580444,3.41,474.0,5481.0,1.036,0.915,4.369,2
1,0.010817,73.711039,1.77,563.0,6374.0,1.502,1.284,4.193,2
1,0.211933,14.43348326,16.25,558.0,4915.0,0.702,0.787,4.627,2
1,0.015121,6.35705314,1.59,990.0,5982.0,0.96,1.047,4.493,2
1,0.029563,1.530515205,0.84,608.0,3462.0,0.259,0.247,5.004,2
1,0.024246,17.6997392,1.96,523.0,4807.0,0.742,0.769,4.583,2
1,0.01586,0.754457729,2.07,2131.0,5561.0,1.193,0.925,4.25,2
1,0.117521,62.6825769,39.8,916.0,7058.0,3.101,1.562,3.648,2
1,0.209216,16.2707207,28.42,827.0,6117.0,1.244,1.17,4.315,2
2,0.010112,5.42204257,1.39,1222.0,6123.0,1.263,1.066,4.263,2
2,0.009958,24.1073172,2.74,1065.0,6585.0,2.517,1.502,3.813,2
1,0.0272,51.5738653,2.41,417.0,5380.0,0.813,0.924,4.581,2
1,0.014702,0.827151296,19.1,5171.0,4452.0,11.895,0.984,2.28,2
2,0.043356,6.383159135,2.73,530.0,3757.0,0.576,0.581,4.681,2
1,0.024284,11.6191707,2.21,756.0,5870.0,0.834,0.92,4.56,2
1,0.023157,38.2292037,1.51,359.0,4544.0,0.598,0.592,4.656,2
1,0.483193,176.845697,42.05,291.0,5592.0,0.797,0.804,4.541,2
1,0.019931,18.0243482,1.98,683.0,5955.0,0.91,0.999,4.52,2
1,0.019585,16.4793229,1.53,537.0,4908.0,0.716,0.797,4.618,2
2,0.016455,2.10081629,1.65,1378.0,5815.0,0.918,0.974,4.5,2
2,0.009964,3.67936863,0.92,1112.0,5676.0,0.848,0.781,4.474,2
2,0.008309,7.4464635,0.77,879.0,5676.0,0.848,0.781,4.474,2
1,0.019552,2.252976718,1.19,795.0,4039.0,0.559,0.583,4.708,2
1,0.017048,16.6146221,1.49,604.0,5295.0,0.8,0.825,4.548,2
1,0.014115,5.83892993,1.19,835.0,5279.0,0.769,0.839,4.588,2
1,0.008516,3.09756897,1.75,1782.0,6329.0,1.885,1.374,4.026,2
1,0.030926,205.385912,2.11,200.0,4400.0,0.624,0.646,4.659,2
2,0.021524,3.42064689,2.27,1129.0,5370.0,0.966,0.877,4.411,2
2,0.014238,1.23935745,1.5,1583.0,5370.0,0.966,0.877,4.411,2
1,0.012061,1.407020118,1.12,1350.0,5022.0,0.849,0.804,4.485,2
1,0.020437,24.4359956,2.31,674.0,6197.0,1.035,1.096,4.449,2
1,0.27658,17.57704569,27.21,673.0,5653.0,0.901,0.819,4.442,2
1,0.011144,1.400755743,1.3,1628.0,5487.0,1.072,0.902,4.333,2
1,0.025924,1.28132831,4.52,2215.0,5918.0,1.596,0.881,3.978,2
1,0.326228,119.0833042,22.19,240.0,4412.0,0.623,0.65,4.662,2
1,0.013372,27.8813154,1.54,681.0,6434.0,1.055,1.048,4.414,2
1,0.012157,7.50790041,1.77,1138.0,6408.0,1.337,1.329,4.309,2
1,0.020351,110.3783828,3.02,473.0,6342.0,1.359,1.175,4.242,2
5,0.007254,4.28886792,0.57,944.0,5374.0,0.721,0.68,4.555,2
1,0.029364,24.5752524,1.64,316.0,3678.0,0.512,0.545,4.755,2
2,0.007125,10.1747037,1.04,985.0,5866.0,1.339,1.016,4.191,2
1,0.008116,2.17291055,0.93,1507.0,6164.0,1.045,1.109,4.446,2
2,0.010277,7.35101287,1.42,1064.0,5951.0,1.262,1.117,4.283,2
1,0.008051,6.57159435,1.26,1211.0,6042.0,1.432,1.029,4.139,2
1,0.013923,0.868122253,1.65,2047.0,6116.0,1.084,1.181,4.44,2
2,0.02167,13.84301228,1.98,699.0,5745.0,0.837,0.928,4.559,2
