Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
3,0.034376,20.47748843,2.92,530.0,5097.0,0.779,0.891,4.597,1
3,0.020396,3.336123113,1.74,970.0,5097.0,0.779,0.891,4.597,1
3,0.03347,8.01078456,1.72,453.0,3713.0,0.47,0.484,4.779,1
3,0.025158,12.07134205,1.29,395.0,3713.0,0.47,0.484,4.779,1
3,0.025412,20.99587872,1.3,328.0,3713.0,0.47,0.484,4.779,1
1,0.024438,7.41113177,2.45,905.0,5849.0,0.919,1.014,4.517,1
1,0.047993,1.000747038,4.14,1620.0,5472.0,0.79,0.718,4.499,0
1,0.114124,8.884922995,10.51,770.0,5332.0,0.843,0.821,4.5,1
1,0.076211,8.09888906,8.95,986.0,6214.0,1.076,1.169,4.442,1
1,0.032174,10.00653012,3.52,876.0,6063.0,1.001,1.079,4.47,1
1,0.08815,17.85522168,13.16,911.0,6823.0,1.367,1.386,4.308,1
1,0.077106,5.007316661,6.96,998.0,5865.0,0.827,0.914,4.563,1
5,0.026289,2.211116989,1.85,931.0,4500.0,0.646,0.71,4.656,1
5,0.026973,27.9541337,1.9,400.0,4500.0,0.646,0.71,4.656,1
2,0.014487,12.69104387,2.57,1008.0,5869.0,1.626,1.019,4.024,1
1,0.10287,4.409409243,10.95,1101.0,5600.0,0.975,0.811,4.368,0
3,0.045252,16.23947096,4.14,598.0,5191.0,0.837,0.937,4.564,1
3,0.032418,6.308201629,2.96,819.0,5191.0,0.837,0.937,4.564,1
1,0.11123,2.052349884,13.12,1497.0,5855.0,1.08,1.049,4.393,1
3,0.040133,9.7704486,2.23,460.0,3906.0,0.509,0.508,4.73,1
3,0.029936,5.169804269,1.66,569.0,3906.0,0.509,0.508,4.73,1
2,0.01746,21.22261195,2.48,771.0,5945.0,1.302,1.009,4.213,1
3,0.040437,20.09017037,2.25,362.0,3906.0,0.509,0.508,4.73,1
3,0.025862,7.11373257,1.16,429.0,3561.0,0.411,0.44,4.855,1
3,0.020275,3.306551643,0.91,554.0,3561.0,0.411,0.44,4.855,1
3,0.02471,15.36845737,1.11,332.0,3561.0,0.411,0.44,4.855,1
1,0.036595,13.81020318,4.56,833.0,5942.0,1.142,1.009,4.327,1
2,0.026123,4.093578461,2.85,1182.0,6077.0,0.999,1.077,4.471,1
2,0.031397,105.145959,3.43,401.0,6077.0,0.999,1.077,4.471,1
2,0.036303,10.8484518,2.34,499.0,4201.0,0.591,0.609,4.682,1
2,0.018246,6.66833241,1.18,587.0,4201.0,0.591,0.609,4.682,1
1,0.121652,4.082274889,10.55,1016.0,5655.0,0.794,0.886,4.581,1
5,0.026274,42.1406089,1.85,349.0,4500.0,0.646,0.71,4.656,1
5,0.023024,4.617490562,1.62,728.0,4500.0,0.646,0.71,4.656,1
5,0.024778,10.19849255,1.75,559.0,4500.0,0.646,0.71,4.656,1
1,0.047975,5.795063956,4.33,950.0,5865.0,0.827,0.914,4.563,0
3,0.026979,7.15681552,2.47,782.0,5029.0,0.838,0.798,4.494,1
3,0.026581,17.64830851,2.43,579.0,5029.0,0.838,0.798,4.494,1
3,0.011755,4.14810719,1.08,938.0,5029.0,0.838,0.798,4.494,1
4,0.028718,16.51410989,2.72,655.0,5527.0,0.866,0.841,4.488,1
4,0.03322,30.1329298,3.14,536.0,5527.0,0.866,0.841,4.488,1
4,0.014349,4.79090809,1.36,990.0,5527.0,0.866,0.841,4.488,1
2,0.017414,31.71981013,3.09,743.0,5869.0,1.626,1.019,4.024,1
4,0.027879,99.6415962,2.64,360.0,5527.0,0.866,0.841,4.488,1
1,0.080242,4.708326451,10.6,1162.0,5560.0,1.21,0.94,4.246,1
1,8.358793,16.37198661,540.37,438.0,4187.0,0.592,0.58,4.656,0
1,0.030649,5.392026903,2.68,850.0,5198.0,0.801,0.915,4.589,1
2,0.079893,6.491682808,9.66,1062.0,6123.0,1.107,1.159,4.413,1
1,0.298444,3.044770796,24.54,1076.0,5525.0,0.753,0.843,4.603,0
1,0.119176,3.855603916,13.61,1212.0,6033.0,1.046,1.153,4.46,1
1,0.033907,3.855599139,3.57,1158.0,5936.0,0.965,1.075,4.501,0
1,0.138123,38.47876629,13.26,484.0,5510.0,0.879,0.973,4.539,1
1,0.227443,37.60166128,27.22,606.0,6140.0,1.096,0.989,4.354,0
1,0.038195,3.314947362,3.94,1155.0,5609.0,0.944,0.983,4.481,1
1,0.046245,6.71969089,4.37,952.0,5931.0,0.866,0.825,4.479,0
